web-scraper-order,web-scraper-start-url,nome,foto-src,nazione,stile,colore,grado,bicchiere,birrificio,ricerca,content,prezzo scontato,prezzo
1673888352-603,https://www.cantinadellabirra.it/shop/birrificio-arbor-half-day-ipa.html,Arbor Half Day Ipa,https://www.cantinadellabirra.it/media/catalog/product/cache/1/image/460x750/9df78eab33525d08d6e5fb8d27136e95/a/r/arbor_half_day_ipa_cantina_della_birra_1.png,Inghilterra,APA American Pale Ale,Dorato con riflessi arancioni,5.2 %,Pinta,Arbor,Amaro,"<table class=""data-table"" id=""product-attribute-specs-table""> <colgroup> <col width=""25%""> <col width=""25%""> <col width=""1""> <col width=""25%""> <col width=""25%""> </colgroup> <tbody> <tr class=""first odd""> <th class=""title birra_gusto_ricerca"">Gusto prevalente</th> <td class=""data birra_gusto_ricerca"">Amaro</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_fermentazione"">Tipo di fermentazione</th> <td class=""data birra_fermentazione last"">Alta fermentazione</td> </tr> <tr class=""even""> <th class=""title birra_grado_saccarometrico"">Gradi Plato</th> <td class=""data birra_grado_saccarometrico"">11.4</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_ratebeer"">Voto RateBeer</th> <td class=""data birra_ratebeer last"">3,04 / 5</td> </tr> <tr class=""odd""> <th class=""title birra_stile"">Stile</th> <td class=""data birra_stile"">APA American Pale Ale</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_temperatura"">Temperatura di servizio</th> <td class=""data birra_temperatura last"">6/8°C</td> </tr> <tr class=""last even""> <th class=""title birra_confezioni"">Formati disponibili</th> <td class=""data birra_confezioni"">Bottiglia 56,8cl</td> <td class=""empty"">&nbsp;</td> <th class=""title allergeni"">Allergeni</th> <td class=""data allergeni last"">Orzo</td> </tr> </tbody> </table> <script type=""text/javascript"">decorateTable('product-attribute-specs-table')</script> <div class=""std"" id=""block-desc-product""> Veste un colore dorato con riflessi arancioni, con una discreta quantità di schiuma bianca con una buona ritenzione. Aroma dolce di frutta tropicale (ananas e frutto della passione), spezie, agrumi, fragranze erbacee, floreali e resinose. Sapore agrodolce dove ritroviamo i sentori percepiti al naso, cui si aggiungono una saporosità di malto biscottato, caramello e toffee. Con un corpo ed una carbonatazione media termina con un retrogusto amaro ma non stucchevole. </div> <div class=""box-collateral box-description""> <span itemprop=""description""> </span> </div>",null,null
1673888355-604,https://www.cantinadellabirra.it/shop/birrificio-arbor-breakfast-stout.html,Arbor Breakfast Stout,https://www.cantinadellabirra.it/media/catalog/product/cache/1/image/460x750/9df78eab33525d08d6e5fb8d27136e95/a/r/arbor_breakfast.png,Inghilterra,Stout,Nero,7.4 %,Pinta,Arbor,Amaro,"<table class=""data-table"" id=""product-attribute-specs-table""> <colgroup> <col width=""25%""> <col width=""25%""> <col width=""1""> <col width=""25%""> <col width=""25%""> </colgroup> <tbody> <tr class=""first odd""> <th class=""title birra_gusto_ricerca"">Gusto prevalente</th> <td class=""data birra_gusto_ricerca"">Amaro</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_fermentazione"">Tipo di fermentazione</th> <td class=""data birra_fermentazione last"">Alta fermentazione</td> </tr> <tr class=""even""> <th class=""title birra_grado_saccarometrico"">Gradi Plato</th> <td class=""data birra_grado_saccarometrico"">15.8</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_ratebeer"">Voto RateBeer</th> <td class=""data birra_ratebeer last"">97 / 100</td> </tr> <tr class=""odd""> <th class=""title birra_beeradvocade"">Voto Beer Advocate</th> <td class=""data birra_beeradvocade"">3,95 / 5</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_gusto"">Sottostile</th> <td class=""data birra_gusto last"">Foreign Extra Stout</td> </tr> <tr class=""even""> <th class=""title birra_stile"">Stile</th> <td class=""data birra_stile"">Stout</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_temperatura"">Temperatura di servizio</th> <td class=""data birra_temperatura last"">10/12°C</td> </tr> <tr class=""last odd""> <th class=""title birra_confezioni"">Formati disponibili</th> <td class=""data birra_confezioni"">Bottiglia 56,8cl</td> <td class=""empty"">&nbsp;</td> <th class=""title allergeni"">Allergeni</th> <td class=""data allergeni last"">Orzo</td> </tr> </tbody> </table> <script type=""text/javascript"">decorateTable('product-attribute-specs-table')</script> <div class=""std"" id=""block-desc-product""> <strong>Aspetto:</strong> si presenta scurissima, quasi nera, con una schiuma cremosa e persistente.<br> <br><strong>Sentori olfattivi:</strong> I sentori di caffè prevalgono sul cioccolato amaro e malto.<br> <br><strong>Corpo e gusto:</strong> il gusto decisamente amaro fin dal primo sorso riprende le note di caffè e malto tostato.<br> <br><strong>Retrogusto:</strong> lungo retrogusto di caffè accompagnato da lievi note di cacao amaro. </div> <div class=""box-collateral box-description""> <span itemprop=""description""> </span> </div>",null,null
1673888357-605,https://www.cantinadellabirra.it/shop/schonram-schonramer-pils.html,Schönramer Pils,https://www.cantinadellabirra.it/media/catalog/product/cache/1/image/460x750/9df78eab33525d08d6e5fb8d27136e95/p/i/pils_33cl_cantina_della_birra_1.png,Germania,Pils,Dorato,5.4 %,Colonna,Schönram,Amaro,"<table class=""data-table"" id=""product-attribute-specs-table""> <colgroup> <col width=""25%""> <col width=""25%""> <col width=""1""> <col width=""25%""> <col width=""25%""> </colgroup> <tbody> <tr class=""first odd""> <th class=""title birra_gusto_ricerca"">Gusto prevalente</th> <td class=""data birra_gusto_ricerca"">Amaro</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_fermentazione"">Tipo di fermentazione</th> <td class=""data birra_fermentazione last"">Bassa fermentazione</td> </tr> <tr class=""even""> <th class=""title birra_grado_saccarometrico"">Gradi Plato</th> <td class=""data birra_grado_saccarometrico"">11.8</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_ratebeer"">Voto RateBeer</th> <td class=""data birra_ratebeer last"">3,09 / 5</td> </tr> <tr class=""odd""> <th class=""title birra_beeradvocade"">Voto Beer Advocate</th> <td class=""data birra_beeradvocade"">87 / 100</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_stile"">Stile</th> <td class=""data birra_stile last"">Pils</td> </tr> <tr class=""even""> <th class=""title birra_ibu"">IBU</th> <td class=""data birra_ibu"">33</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_temperatura"">Temperatura di servizio</th> <td class=""data birra_temperatura last"">5/7°C</td> </tr> <tr class=""odd""> <th class=""title birra_confezioni"">Formati disponibili</th> <td class=""data birra_confezioni"">Bottiglia 33cl</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_extra"">Extra</th> <td class=""data birra_extra last"">Premiata</td> </tr> <tr class=""last even""> <th class=""title allergeni"">Allergeni</th> <td class=""data allergeni last"">Orzo</td> </tr></tbody> </table> <script type=""text/javascript"">decorateTable('product-attribute-specs-table')</script> <div class=""std"" id=""block-desc-product""> L'aroma di questa birra è molto piacevole, caratterizzato da note di crosta di pane, erbe, fieno, miele e un leggero sentore agrumato. In bocca ha un attacco fruttato ed agrumato, seguito da gradevoli note dolci e mielate conferite dai malti chiari granulosi, per poi lasciar spazio all'abbondante luppolatura, che è il carattere dominante di questa birra. I coni di luppolo si rivelano ancor più nel secco retrogusto, amaro, molto persistente, che ripulisce la bocca ed invita a berne un altro bicchiere.<br> <br> <strong>European Beer Star 2020</strong><br> <u>Medaglia d'argento nella categoria German-Style Pilsner</u> </div> <div class=""box-collateral box-description""> <span itemprop=""description""> </span> </div>",null,null
1673888360-606,https://www.cantinadellabirra.it/shop/birra-dell-eremo-fuoco.html,Fuoco,https://www.cantinadellabirra.it/media/catalog/product/cache/1/image/460x750/9df78eab33525d08d6e5fb8d27136e95/b/i/birra_delleremo__fuoco.png,Italia,Abbey Tripel,Dorato,8.5 %,Coppa,Birra dell'Eremo,Dolce,"<table class=""data-table"" id=""product-attribute-specs-table""> <colgroup> <col width=""25%""> <col width=""25%""> <col width=""1""> <col width=""25%""> <col width=""25%""> </colgroup> <tbody> <tr class=""first odd""> <th class=""title birra_gusto_ricerca"">Gusto prevalente</th> <td class=""data birra_gusto_ricerca"">Dolce</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_fermentazione"">Tipo di fermentazione</th> <td class=""data birra_fermentazione last"">Alta fermentazione</td> </tr> <tr class=""even""> <th class=""title birra_grado_saccarometrico"">Gradi Plato</th> <td class=""data birra_grado_saccarometrico"">17.5</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_ratebeer"">Voto RateBeer</th> <td class=""data birra_ratebeer last"">3,05 / 5</td> </tr> <tr class=""odd""> <th class=""title birra_stile"">Stile</th> <td class=""data birra_stile"">Abbey Tripel</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_temperatura"">Temperatura di servizio</th> <td class=""data birra_temperatura last"">6/8°C</td> </tr> <tr class=""even""> <th class=""title birra_confezioni"">Formati disponibili</th> <td class=""data birra_confezioni"">Bottiglia 33cl</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_extra"">Extra</th> <td class=""data birra_extra last"">Da non perdere</td> </tr> <tr class=""last odd""> <th class=""title allergeni"">Allergeni</th> <td class=""data allergeni last"">Orzo</td> </tr></tbody> </table> <script type=""text/javascript"">decorateTable('product-attribute-specs-table')</script> <div class=""std"" id=""block-desc-product""> Birra in stile Tripel di colore oro intenso con schiuma fine, persistente di colore bianco. Al naso emergono profumi di crosta di pane, frutta, spezie e lievito. In bocca il malto domina, con morbide ed avvolgenti note caramellate e di miele. La Fuoco è una birra che, nonostante il suo tenore alcolico, ha una facile bevibilità grazie anche al suo retrogusto floreale. </div> <div class=""box-collateral box-description""> <span itemprop=""description""> </span> </div>",null,null
1673888363-607,https://www.cantinadellabirra.it/shop/birra-dell-eremo-magnifica.html,Magnifica,https://www.cantinadellabirra.it/media/catalog/product/cache/1/image/460x750/9df78eab33525d08d6e5fb8d27136e95/b/i/birra_delleremo-magnifica_1_1.png,Italia,Amber Ale,Ambrato leggermente velato,5.5 %,Pinta,Birra dell'Eremo,Amaro,"<table class=""data-table"" id=""product-attribute-specs-table""> <colgroup> <col width=""25%""> <col width=""25%""> <col width=""1""> <col width=""25%""> <col width=""25%""> </colgroup> <tbody> <tr class=""first odd""> <th class=""title birra_gusto_ricerca"">Gusto prevalente</th> <td class=""data birra_gusto_ricerca"">Amaro</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_fermentazione"">Tipo di fermentazione</th> <td class=""data birra_fermentazione last"">Alta fermentazione</td> </tr> <tr class=""even""> <th class=""title birra_grado_saccarometrico"">Gradi Plato</th> <td class=""data birra_grado_saccarometrico"">10.8</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_ratebeer"">Voto RateBeer</th> <td class=""data birra_ratebeer last"">3.25 / 5</td> </tr> <tr class=""odd""> <th class=""title birra_beeradvocade"">Voto Beer Advocate</th> <td class=""data birra_beeradvocade"">3.03 / 5</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_gusto"">Sottostile</th> <td class=""data birra_gusto last"">American Amber Ale</td> </tr> <tr class=""even""> <th class=""title birra_stile"">Stile</th> <td class=""data birra_stile"">Amber Ale</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_ibu"">IBU</th> <td class=""data birra_ibu last"">25</td> </tr> <tr class=""odd""> <th class=""title birra_temperatura"">Temperatura di servizio</th> <td class=""data birra_temperatura"">6/8°C</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_confezioni"">Formati disponibili</th> <td class=""data birra_confezioni last"">Bottiglia 33cl, Bottiglia 50cl</td> </tr> <tr class=""last even""> <th class=""title allergeni"">Allergeni</th> <td class=""data allergeni last"">Orzo</td> </tr></tbody> </table> <script type=""text/javascript"">decorateTable('product-attribute-specs-table')</script> <div class=""std"" id=""block-desc-product""> Birra dal color ambrato, leggermente velato, con riflessi rossi e con una schiuma bianca compatta, con una discreta persistenza. Quello che colpisce di più di questa birra è il particolare e complesso profilo aromatico, dominato dai&nbsp;luppoli neozelandesi ed americani. Appena versata nel bicchiere si sprigionano intensi profumi di&nbsp;frutti rossi e tropicali, accompagnati dalle classiche fragranze agrumate dei luppoli americani, che emergono in secondo piano, con note di arancia e pompelmo. In sottofondo sentori di caramello e spezie. L’ingresso in bocca è molto morbido e inizialmente tendente al dolce, caratterizzato da una saporosità di malto tostato, frutta secca (nocciola) ed un leggero&nbsp;caramello. Man mano che la birra si riscalda c’è un ritorno alle sensazioni agrumate percepite al naso che portano ad un finale con un retrogusto secco, abbastanza persistente e tendente al resinoso. </div> <div class=""box-collateral box-description""> <span itemprop=""description""> </span> </div>",null,null
1673888365-608,https://www.cantinadellabirra.it/shop/birra-dell-eremo-nobile.html,Nobile,https://www.cantinadellabirra.it/media/catalog/product/cache/1/image/460x750/9df78eab33525d08d6e5fb8d27136e95/f/o/foto_nobile_2019_002__2.png,Italia,Golden Ale / Blonde Ale,Dorato,"5,00%",Pinta,Birra dell'Eremo,Dolce,"<table class=""data-table"" id=""product-attribute-specs-table""> <colgroup> <col width=""25%""> <col width=""25%""> <col width=""1""> <col width=""25%""> <col width=""25%""> </colgroup> <tbody> <tr class=""first odd""> <th class=""title birra_gusto_ricerca"">Gusto prevalente</th> <td class=""data birra_gusto_ricerca"">Dolce</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_fermentazione"">Tipo di fermentazione</th> <td class=""data birra_fermentazione last"">Alta fermentazione</td> </tr> <tr class=""even""> <th class=""title birra_grado_saccarometrico"">Gradi Plato</th> <td class=""data birra_grado_saccarometrico"">10.3</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_ratebeer"">Voto RateBeer</th> <td class=""data birra_ratebeer last"">3.19 / 5</td> </tr> <tr class=""odd""> <th class=""title birra_beeradvocade"">Voto Beer Advocate</th> <td class=""data birra_beeradvocade"">2.03 / 5</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_stile"">Stile</th> <td class=""data birra_stile last"">Golden Ale / Blonde Ale</td> </tr> <tr class=""even""> <th class=""title birra_temperatura"">Temperatura di servizio</th> <td class=""data birra_temperatura"">6/8°C</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_confezioni"">Formati disponibili</th> <td class=""data birra_confezioni last"">Bottiglia 33cl</td> </tr> <tr class=""last odd""> <th class=""title allergeni"">Allergeni</th> <td class=""data allergeni last"">Orzo</td> </tr></tbody> </table> <script type=""text/javascript"">decorateTable('product-attribute-specs-table')</script> <div class=""std"" id=""block-desc-product""> Veste un abito color del sole con una schiuma bianca fine e persistente. All’ esame olfattivo prevale un profumo agrumato con una predominanza di limone. Sono ben riconoscibili inoltre sentori speziati e citrici da luppolo, di frutta dolce e di lievito. Al palato è ben bilanciata, vengono riproposti i sentori olfattivi con una saporosità erbacea e di caramello. Con un corpo medio e una carbonatazione morbida, termina con un retrogusto secco e leggermente amaro.<br> <br> <br> <strong>Birra dell'anno 2018</strong><br> <u>Menzione d'onore categoria 4 - Birre chiare e ambrate, alta fermentazione, basso grado alcolico di ispirazione anglosassone (English Golden Ale, English Pale Ale)</u><br> <br> <strong>Birra dell'anno 2016</strong><br> <u>1° Classificata categoria 2 - Chiare, alta fermentazione, basso grado alcolico di ispirazione angloamericana</u> </div> <div class=""box-collateral box-description""> <span itemprop=""description""> </span> </div>",null,null
1673888368-609,https://www.cantinadellabirra.it/shop/birra-dell-eremo-terra.html,Terra,https://www.cantinadellabirra.it/media/catalog/product/cache/1/image/460x750/9df78eab33525d08d6e5fb8d27136e95/b/i/birra_delleremo__terra.png,Italia,Stout,Nero,5.2 %,Pinta,Birra dell'Eremo,Amaro,"<table class=""data-table"" id=""product-attribute-specs-table""> <colgroup> <col width=""25%""> <col width=""25%""> <col width=""1""> <col width=""25%""> <col width=""25%""> </colgroup> <tbody> <tr class=""first odd""> <th class=""title birra_gusto_ricerca"">Gusto prevalente</th> <td class=""data birra_gusto_ricerca"">Amaro</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_fermentazione"">Tipo di fermentazione</th> <td class=""data birra_fermentazione last"">Alta fermentazione</td> </tr> <tr class=""even""> <th class=""title birra_grado_saccarometrico"">Gradi Plato</th> <td class=""data birra_grado_saccarometrico"">11.00</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_ratebeer"">Voto RateBeer</th> <td class=""data birra_ratebeer last"">2,94 / 5</td> </tr> <tr class=""odd""> <th class=""title birra_gusto"">Sottostile</th> <td class=""data birra_gusto"">Oatmeal Stout</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_stile"">Stile</th> <td class=""data birra_stile last"">Stout</td> </tr> <tr class=""even""> <th class=""title birra_temperatura"">Temperatura di servizio</th> <td class=""data birra_temperatura"">8/10°C</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_confezioni"">Formati disponibili</th> <td class=""data birra_confezioni last"">Bottiglia 33cl</td> </tr> <tr class=""last odd""> <th class=""title allergeni"">Allergeni</th> <td class=""data allergeni last"">Orzo</td> </tr></tbody> </table> <script type=""text/javascript"">decorateTable('product-attribute-specs-table')</script> <div class=""std"" id=""block-desc-product""> Appartiene alle Stout, ma a quelle di origine anglosassone, la Terra&nbsp;è difatti un’Oatmeal Stout prodotta con l’impiego di avena in grado di fornire un corpo più morbido rispetto alle classiche Stout inglesi.&nbsp;Si presenta con un colore nero profondo, con una testa beige. Il cervo in etichetta ben rappresenta la sua estrema eleganza, giocata tra le classiche note di caffè, malto tostato e cioccolata e la freschezza della liquirizia, coniugata con un corpo che richiama fortemente la frutta secca, soprattutto noci e nocciole. Piacevole amarezza nel lungo retrogusto. </div> <div class=""box-collateral box-description""> <span itemprop=""description""> </span> </div>",null,null
1673888371-610,https://www.cantinadellabirra.it/shop/birra-dell-eremo-saggia.html,Saggia,https://www.cantinadellabirra.it/media/catalog/product/cache/1/image/460x750/9df78eab33525d08d6e5fb8d27136e95/f/o/foto_saggia_2019_002_.png,Italia,Blanche / Witbier,Dorato leggermente velato,"5,00%",Pinta,Birra dell'Eremo,Dolce,"<table class=""data-table"" id=""product-attribute-specs-table""> <colgroup> <col width=""25%""> <col width=""25%""> <col width=""1""> <col width=""25%""> <col width=""25%""> </colgroup> <tbody> <tr class=""first odd""> <th class=""title birra_gusto_ricerca"">Gusto prevalente</th> <td class=""data birra_gusto_ricerca"">Dolce</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_fermentazione"">Tipo di fermentazione</th> <td class=""data birra_fermentazione last"">Alta fermentazione</td> </tr> <tr class=""even""> <th class=""title birra_grado_saccarometrico"">Gradi Plato</th> <td class=""data birra_grado_saccarometrico"">11.5</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_ratebeer"">Voto RateBeer</th> <td class=""data birra_ratebeer last"">2,93 / 5</td> </tr> <tr class=""odd""> <th class=""title birra_stile"">Stile</th> <td class=""data birra_stile"">Blanche / Witbier</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_temperatura"">Temperatura di servizio</th> <td class=""data birra_temperatura last"">6/8°C</td> </tr> <tr class=""last even""> <th class=""title birra_confezioni"">Formati disponibili</th> <td class=""data birra_confezioni"">Bottiglia 33cl</td> <td class=""empty"">&nbsp;</td> <th class=""title allergeni"">Allergeni</th> <td class=""data allergeni last"">Orzo, Frumento, Avena</td> </tr> </tbody> </table> <script type=""text/javascript"">decorateTable('product-attribute-specs-table')</script> <div class=""std"" id=""block-desc-product""> Birra di colore dorato leggermente velato con una schiuma bianca, copiosa e spumeggiante. Aromi e sapori di malto di frumento, spezie (coriandolo e chiodi di garofano), agrumi (arancia), pane bianco, lievito e frutta. Dal corpo medio e con una discreta carbonatazione termina con un retrogusto fruttato. </div> <div class=""box-collateral box-description""> <span itemprop=""description""> </span> </div>",null,null
1673888373-611,https://www.cantinadellabirra.it/shop/birra-dell-eremo-fiera.html,Fiera,https://www.cantinadellabirra.it/media/catalog/product/cache/1/image/460x750/9df78eab33525d08d6e5fb8d27136e95/b/i/birra_delleremo__fiera.png,Italia,IPA India Pale Ale,Dorato con riflessi arancioni,6.5 %,Pinta,Birra dell'Eremo,Amaro,"<table class=""data-table"" id=""product-attribute-specs-table""> <colgroup> <col width=""25%""> <col width=""25%""> <col width=""1""> <col width=""25%""> <col width=""25%""> </colgroup> <tbody> <tr class=""first odd""> <th class=""title birra_gusto_ricerca"">Gusto prevalente</th> <td class=""data birra_gusto_ricerca"">Amaro</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_fermentazione"">Tipo di fermentazione</th> <td class=""data birra_fermentazione last"">Alta fermentazione</td> </tr> <tr class=""even""> <th class=""title birra_grado_saccarometrico"">Gradi Plato</th> <td class=""data birra_grado_saccarometrico"">13.00</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_ratebeer"">Voto RateBeer</th> <td class=""data birra_ratebeer last"">85 / 100</td> </tr> <tr class=""odd""> <th class=""title birra_beeradvocade"">Voto Beer Advocate</th> <td class=""data birra_beeradvocade"">3.69 / 5</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_gusto"">Sottostile</th> <td class=""data birra_gusto last"">American India Pale Ale</td> </tr> <tr class=""even""> <th class=""title birra_stile"">Stile</th> <td class=""data birra_stile"">IPA India Pale Ale</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_ibu"">IBU</th> <td class=""data birra_ibu last"">45</td> </tr> <tr class=""odd""> <th class=""title birra_temperatura"">Temperatura di servizio</th> <td class=""data birra_temperatura"">6/8°C</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_confezioni"">Formati disponibili</th> <td class=""data birra_confezioni last"">Bottiglia 33cl</td> </tr> <tr class=""last even""> <th class=""title allergeni"">Allergeni</th> <td class=""data allergeni last"">Orzo</td> </tr></tbody> </table> <script type=""text/javascript"">decorateTable('product-attribute-specs-table')</script> <div class=""std"" id=""block-desc-product""> La Fiera esplora il mondo dell’IPA, il nome richiama il Cantico delle Creature di San Francesco, fonte di ispirazione per tutte le etichette del birrificio. Questa birra si presenta con un cappello di schiuma bianca compatta e persistente. Il colore ha toni di un bell’ambrato limpido, ad anticipare un naso dominato da note agrumate, pompelmo e limone su tutto, affiancate da sensazioni fruttate, resinose ed erbacee. La boccata è piena, di bella personalità, quasi cremosa, avvolge il palato regalando sapori agrodolci di malti tostati e luppolo. Finale lungo ed aromatico, di nuovo con note agrumate e una leggera dolcezza di fondo che la rende davvero piacevole nella sua linearità. Chiude una gradevole impronta&nbsp;amara che ripulisce il palato lasciandolo secco e desidero di un altro sorso. </div> <div class=""box-collateral box-description""> <span itemprop=""description""> </span> </div>",null,null
1673888376-612,https://www.cantinadellabirra.it/shop/birrificio-del-ducato-suprema-ratio.html,Suprema Ratio,https://www.cantinadellabirra.it/media/catalog/product/cache/1/image/460x750/9df78eab33525d08d6e5fb8d27136e95/s/u/suprema-ratio-single-hop-ipa.png,Italia,IPA India Pale Ale,Ambrato scarico,5.4 %,Pinta,Birrificio del Ducato,Amaro,"<table class=""data-table"" id=""product-attribute-specs-table""> <colgroup> <col width=""25%""> <col width=""25%""> <col width=""1""> <col width=""25%""> <col width=""25%""> </colgroup> <tbody> <tr class=""first odd""> <th class=""title birra_gusto_ricerca"">Gusto prevalente</th> <td class=""data birra_gusto_ricerca"">Amaro</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_fermentazione"">Tipo di fermentazione</th> <td class=""data birra_fermentazione last"">Alta fermentazione</td> </tr> <tr class=""even""> <th class=""title birra_grado_saccarometrico"">Gradi Plato</th> <td class=""data birra_grado_saccarometrico"">13</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_gusto"">Sottostile</th> <td class=""data birra_gusto last"">India Pale Ale – Single Hop</td> </tr> <tr class=""odd""> <th class=""title birra_stile"">Stile</th> <td class=""data birra_stile"">IPA India Pale Ale</td> <td class=""empty"">&nbsp;</td> <th class=""title birra_temperatura"">Temperatura di servizio</th> <td class=""data birra_temperatura last"">6/8°C</td> </tr> <tr class=""last even""> <th class=""title birra_confezioni"">Formati disponibili</th> <td class=""data birra_confezioni"">Bottiglia 33cl</td> <td class=""empty"">&nbsp;</td> <th class=""title allergeni"">Allergeni</th> <td class=""data allergeni last"">Orzo</td> </tr> </tbody> </table> <script type=""text/javascript"">decorateTable('product-attribute-specs-table')</script> <div class=""std"" id=""block-desc-product""> Appartiene allo stile delle IPA e può essere considerata un’India Pale Ale Single Hop; la ricetta, difatti, prevede una sola qualità di malto e una di luppolo, che cambiamo ogni anno, Suprema Ratio ha un colore giallo dorato intenso ed intensi profumi fruttati. Secca e pulita, amara al punto giusto. </div> <div class=""box-collateral box-description""> <span itemprop=""description""> </span> </div>",null,null
